id,civ,developer_id,date,spend
1,blobs,7284983019718,253,58
2,humans,9035001935180,96,944
3,monsters,5048510873339,219,433
4,humans,4082858863415,91,121
5,blobs,4777729356207,294,786
6,monsters,6445923505866,33,176
7,humans,866192600016,139,264
8,monsters,5223640471679,249,5
9,monsters,7973621354174,50,413
10,monsters,370373552463,187,43
11,blobs,5329761336975,86,155
12,humans,8841036346395,358,795
13,monsters,5108768567317,304,595
14,blobs,133044783877,249,326
15,blobs,5261069219722,10,974
16,humans,5995780788436,218,794
17,humans,317611593532,50,767
18,humans,4742169329392,351,353
19,monsters,8992872809272,330,242
20,monsters,4579743112337,38,913
21,monsters,6741307534751,234,268
22,humans,9657924936926,22,196
23,blobs,394307073270,154,209
24,blobs,4404231188692,169,874
25,monsters,6937484518978,330,237
26,blobs,3989180096594,185,344
27,monsters,8509997614865,114,520
28,blobs,9035837725846,292,804
29,monsters,1913372498784,71,388
30,humans,49938205236,128,227
31,blobs,4224713778177,163,641
32,humans,9215187274382,196,456
33,humans,1966484798744,1,83
34,humans,7285153733609,111,386
35,humans,6097281839665,193,562
36,humans,3992561891971,151,726
37,humans,3079454699525,135,555
38,humans,6251625341863,219,948
39,monsters,8237243803662,240,559
40,blobs,1138400084308,260,890
41,monsters,6552499520892,112,897
42,monsters,1666292215695,118,845
43,monsters,8189835342226,325,342
44,humans,4339308087044,110,302
45,humans,6126456176229,353,287
46,blobs,9134671863737,94,220
47,blobs,7205888792,73,190
48,monsters,7115986779723,188,370
49,monsters,1003577304181,285,598
50,monsters,484112791859,292,513
51,monsters,4422947216362,93,524
52,blobs,187741476058,14,886
53,monsters,8198953377452,122,671
54,humans,3509745341237,96,233
55,humans,4574312380051,101,860
56,humans,9654011832693,163,809
57,humans,3086524661218,178,83
58,blobs,2419270918146,316,100
59,humans,6560064171250,322,233
60,humans,5869727909802,30,533
61,blobs,136972707592,105,772
62,blobs,4902357909786,138,159
63,blobs,2957509895781,117,783
64,monsters,6753444214499,47,82
65,blobs,7992402644931,133,959
66,humans,7889194615182,239,145
67,humans,8439041205628,317,525
68,monsters,9335953760035,326,316
69,monsters,1473660123864,222,564
70,monsters,7763337721493,121,610
71,humans,1886133802810,20,841
72,monsters,6500992480210,39,327
73,humans,4262659828094,283,13
74,monsters,641226592748,178,369
75,monsters,6801799604607,231,182
76,blobs,1019559603788,186,133
77,blobs,126152809569,288,603
78,monsters,7995586320448,363,54
79,monsters,894795618969,169,529
80,humans,5728026824756,39,38
81,monsters,3588678431758,63,988
82,blobs,6021910986961,93,243
83,blobs,6880382194234,299,460
84,blobs,6279053135859,273,249
85,blobs,6083695955046,214,464
86,humans,4688828288173,19,996
87,blobs,7282855792482,43,732
88,monsters,5005794736298,65,36
89,humans,5621638952504,10,97
90,humans,4957225666279,50,714
91,monsters,2049174846047,318,389
92,blobs,7482310209696,24,732
93,humans,4471131327992,159,287
94,humans,2833170081362,62,675
95,humans,9314830835195,12,18
96,blobs,1378749035893,269,572
97,monsters,9673122930516,138,603
98,blobs,9880454663064,136,12
99,monsters,8903725172727,321,968
100,monsters,5701274487649,2,460
101,monsters,7723069811210,313,747
102,blobs,8766468808140,13,386
103,blobs,8744237558675,13,371
104,humans,6443985545696,211,647
